Event_Name,Match_Type,Match_Num,Scouter_Initials,Team_Num,Team_Name,Start_Position,Auto_Cargo_Upper,Auto_Cargo_Lower,Auto_Tarmac,Tele_Cargo_Upper,Tele_Cargo_Lower,Hangar_Level,Hangar_Time,Use_Launch_Pad,Cargo_Loaded_Start,Defense_Rating,Speed_Rating,Tippy,Died_in_Match,Penalties
MidwestRegional,Qual,32,XZ,503,Frog Force,3,3,0,1,7,7,1,22,1,1,4,1,1,0,0
PacificRegional,Playoff,33,LS,503,Frog Force,3,3,4,1,8,8,2,13,1,1,3,3,1,0,0
LoneStarRegional,Playoff,1,MK,1023,Bedford Express,2,0,3,0,3,7,2,5,1,0,5,2,1,0,0
LoneStarRegional,Playoff,2,XZ,1023,Bedford Express,3,0,0,1,7,2,4,15,1,1,4,4,0,0,0
PacificRegional,Playoff,3,LS,1023,Bedford Express,3,2,4,1,7,6,3,18,0,1,1,4,1,0,0
NEDistrict,Playoff,4,TR,1023,Bedford Express,3,4,2,1,5,5,4,2,1,0,1,2,1,0,1
MidwestRegional,Playoff,5,MK,1023,Bedford Express,1,4,1,1,9,8,4,18,0,1,1,3,1,0,0
LoneStarRegional,Playoff,6,TR,1023,Bedford Express,2,4,1,0,9,2,1,23,0,0,1,2,1,0,0
MidwestRegional,Qual,7,AB,1023,Bedford Express,2,2,0,1,4,6,2,3,0,0,4,1,0,0,0
MidwestRegional,Qual,8,AB,1023,Bedford Express,3,3,2,1,3,9,3,24,0,1,3,1,0,0,0
NEDistrict,Playoff,9,JD,1023,Bedford Express,3,0,4,1,9,7,2,9,1,1,2,5,1,0,0
PacificRegional,Qual,10,XZ,1023,Bedford Express,3,2,4,1,4,8,2,23,0,1,3,3,1,0,0
MidwestRegional,Playoff,11,JD,1023,Bedford Express,1,3,2,1,5,6,3,17,0,1,4,1,1,0,0
LoneStarRegional,Playoff,12,XZ,1023,Bedford Express,1,4,1,0,6,3,3,27,0,0,1,4,1,0,0
NEDistrict,Playoff,13,LS,1023,Bedford Express,1,2,3,0,2,5,4,4,1,0,1,5,1,0,0
NEDistrict,Playoff,14,LS,1023,Bedford Express,2,2,3,1,4,8,1,5,1,1,3,1,0,0,0
LoneStarRegional,Qual,15,XZ,1023,Bedford Express,2,1,2,1,6,8,3,19,1,1,1,3,0,0,0
MidwestRegional,Playoff,16,KP,1023,Bedford Express,1,1,4,0,1,9,2,29,1,1,3,3,0,0,1
PacificRegional,Playoff,17,AB,1023,Bedford Express,2,0,0,0,6,3,3,23,1,1,2,5,1,0,0
MidwestRegional,Playoff,18,JD,1023,Bedford Express,3,3,0,0,7,8,1,8,1,1,3,4,1,0,0
NEDistrict,Playoff,19,JD,1023,Bedford Express,2,3,0,1,5,8,2,12,0,1,1,2,1,0,0
LoneStarRegional,Playoff,20,AB,1023,Bedford Express,1,1,1,1,2,8,0,0,0,0,2,1,0,0,0
LoneStarRegional,Qual,21,KP,1023,Bedford Express,2,2,3,0,2,5,4,27,1,0,5,3,0,0,0
LoneStarRegional,Qual,22,KP,1023,Bedford Express,2,1,2,0,5,2,4,21,0,1,3,3,0,0,1
NEDistrict,Qual,23,TR,1023,Bedford Express,2,2,1,1,9,1,0,21,1,0,4,4,1,0,0
LoneStarRegional,Playoff,24,XZ,1023,Bedford Express,3,2,3,0,4,6,1,3,0,1,4,1,0,0,0
MidwestRegional,Qual,25,TR,1023,Bedford Express,2,2,1,0,3,9,4,8,1,0,5,3,0,0,1
LoneStarRegional,Qual,26,LS,1023,Bedford Express,3,0,1,1,3,1,0,17,0,1,1,3,0,0,0
PacificRegional,Qual,27,JD,1023,Bedford Express,2,2,2,1,6,3,4,29,1,1,1,4,0,0,0
LoneStarRegional,Playoff,28,LS,1023,Bedford Express,3,1,1,1,4,1,3,12,1,0,5,4,1,0,0
LoneStarRegional,Playoff,29,AB,1023,Bedford Express,3,1,0,1,8,0,1,22,0,0,2,1,1,0,0
LoneStarRegional,Qual,30,LS,1023,Bedford Express,3,0,3,0,1,6,3,16,0,1,4,1,1,0,1
MidwestRegional,Qual,31,LS,1023,Bedford Express,2,2,4,1,5,9,0,8,1,1,3,2,0,0,0
MidwestRegional,Qual,32,XZ,1023,Bedford Express,3,0,3,0,0,4,3,13,0,0,2,2,0,0,0
MidwestRegional,Playoff,33,KP,1023,Bedford Express,1,2,1,0,4,1,1,8,0,1,5,3,0,0,0
LoneStarRegional,Playoff,1,XZ,1076,Pi Hi Samurai,2,0,0,0,9,3,3,0,0,0,1,1,0,0,0
PacificRegional,Qual,2,LS,1076,Pi Hi Samurai,3,1,4,0,7,5,2,30,1,0,1,4,1,0,0
PacificRegional,Qual,3,JD,1076,Pi Hi Samurai,2,4,1,1,4,5,0,14,0,1,2,3,1,0,0
MidwestRegional,Qual,4,AB,1076,Pi Hi Samurai,1,0,0,0,2,0,0,16,0,1,2,3,0,0,1
PacificRegional,Qual,5,LS,1076,Pi Hi Samurai,3,2,1,1,3,8,1,18,0,0,4,4,0,0,0
MidwestRegional,Playoff,6,JD,1076,Pi Hi Samurai,1,2,1,0,5,6,4,8,0,1,1,5,1,0,1
PacificRegional,Playoff,7,TR,1076,Pi Hi Samurai,2,0,3,0,9,3,0,8,1,1,1,3,0,0,2
LoneStarRegional,Playoff,8,JD,1076,Pi Hi Samurai,1,4,2,0,8,9,3,27,0,1,5,4,1,0,0
LoneStarRegional,Qual,9,XZ,1076,Pi Hi Samurai,2,0,2,1,0,8,1,7,1,1,2,5,0,0,0
MidwestRegional,Playoff,10,MK,1076,Pi Hi Samurai,3,1,3,0,6,5,0,7,1,1,5,4,0,0,0
PacificRegional,Playoff,11,KP,1076,Pi Hi Samurai,2,0,4,1,8,4,4,9,1,0,1,3,0,0,0
NEDistrict,Playoff,12,KP,1076,Pi Hi Samurai,3,0,1,1,2,4,0,21,1,1,1,5,1,0,0
PacificRegional,Qual,13,JD,1076,Pi Hi Samurai,3,4,2,0,4,9,2,25,1,0,5,2,1,0,0
MidwestRegional,Qual,14,MK,1076,Pi Hi Samurai,2,1,4,1,1,4,1,0,0,1,5,1,1,1,0
MidwestRegional,Playoff,15,LS,1076,Pi Hi Samurai,2,1,4,0,9,5,2,7,0,1,2,2,0,0,0
NEDistrict,Playoff,16,TR,1076,Pi Hi Samurai,3,3,1,1,8,3,4,23,0,0,2,4,1,0,0
NEDistrict,Playoff,17,LS,1076,Pi Hi Samurai,2,1,0,0,1,3,4,15,0,1,1,1,0,0,0
NEDistrict,Qual,18,TR,1076,Pi Hi Samurai,3,2,2,0,2,4,0,8,0,0,4,3,0,0,0
NEDistrict,Qual,19,TR,1076,Pi Hi Samurai,2,1,1,0,6,2,3,4,1,0,1,3,1,0,2
LoneStarRegional,Playoff,20,AB,1076,Pi Hi Samurai,1,1,1,1,8,7,1,18,0,0,2,4,1,0,0
NEDistrict,Playoff,21,XZ,1076,Pi Hi Samurai,1,2,4,0,4,8,0,11,0,0,1,4,1,0,0
MidwestRegional,Qual,22,KP,1076,Pi Hi Samurai,3,1,0,0,2,0,0,9,1,1,4,3,0,0,1
MidwestRegional,Qual,23,KP,1076,Pi Hi Samurai,2,2,3,0,4,7,2,14,1,1,2,5,1,0,0
MidwestRegional,Qual,24,LS,1076,Pi Hi Samurai,3,3,1,1,3,4,2,24,0,1,4,2,1,0,0
MidwestRegional,Qual,25,XZ,1076,Pi Hi Samurai,2,1,2,0,6,2,0,14,1,1,1,3,0,0,0
LoneStarRegional,Qual,26,MK,1076,Pi Hi Samurai,3,2,3,1,6,5,2,17,0,0,3,1,0,0,0
PacificRegional,Qual,27,TR,1076,Pi Hi Samurai,3,0,1,0,8,7,3,7,0,1,5,3,0,0,0
MidwestRegional,Qual,28,KP,1076,Pi Hi Samurai,1,2,4,0,2,9,2,2,0,1,4,2,0,0,1
PacificRegional,Playoff,29,JD,1076,Pi Hi Samurai,1,1,2,1,6,5,0,8,0,1,4,2,1,0,0
LoneStarRegional,Playoff,30,TR,1076,Pi Hi Samurai,3,2,2,0,4,3,4,19,0,0,2,4,1,0,0
LoneStarRegional,Playoff,31,KP,1076,Pi Hi Samurai,3,3,4,0,5,9,1,10,0,0,4,2,1,0,1
PacificRegional,Qual,32,LS,1076,Pi Hi Samurai,1,4,0,0,6,8,3,27,0,0,3,4,1,0,0
PacificRegional,Playoff,33,XZ,1076,Pi Hi Samurai,2,4,1,0,9,5,1,5,1,0,1,4,0,0,0
PacificRegional,Playoff,1,AB,1502,Technical Difficulties,2,4,0,1,6,6,4,5,1,0,3,3,1,0,0
NEDistrict,Playoff,2,MK,1502,Technical Difficulties,1,3,0,0,8,5,1,16,0,1,4,5,1,0,0
NEDistrict,Qual,3,XZ,1502,Technical Difficulties,1,0,1,1,8,2,0,8,1,0,5,1,0,0,0
MidwestRegional,Qual,4,TR,1502,Technical Difficulties,1,3,0,0,3,7,2,16,1,1,3,3,1,0,0
NEDistrict,Playoff,5,KP,1502,Technical Difficulties,1,0,3,1,9,8,1,5,1,1,2,2,0,0,0
NEDistrict,Playoff,6,XZ,1502,Technical Difficulties,2,3,2,0,9,2,0,6,1,0,3,5,0,0,0
LoneStarRegional,Qual,7,KP,1502,Technical Difficulties,1,3,1,0,5,5,0,17,1,0,1,4,1,0,1
NEDistrict,Qual,8,KP,1502,Technical Difficulties,3,1,0,0,8,5,3,12,0,0,1,4,1,0,0
LoneStarRegional,Qual,9,XZ,1502,Technical Difficulties,3,4,0,1,4,7,4,23,0,0,5,2,1,0,1
MidwestRegional,Qual,10,MK,1502,Technical Difficulties,2,0,3,1,1,7,0,20,0,1,3,1,1,0,0
MidwestRegional,Qual,11,LS,1502,Technical Difficulties,3,4,3,0,4,4,4,13,1,1,5,4,1,0,0
NEDistrict,Playoff,12,LS,1502,Technical Difficulties,1,0,0,1,2,6,1,19,1,1,1,1,1,0,0
LoneStarRegional,Playoff,13,AB,1502,Technical Difficulties,1,0,0,1,1,0,2,3,1,0,2,2,1,0,0
MidwestRegional,Qual,14,MK,1502,Technical Difficulties,1,4,4,0,7,4,1,29,0,0,2,2,0,0,2
PacificRegional,Playoff,15,KP,1502,Technical Difficulties,3,2,1,1,3,8,3,11,0,0,3,3,1,0,0
NEDistrict,Qual,16,XZ,1502,Technical Difficulties,1,1,0,0,7,6,4,1,1,0,2,2,1,0,2
NEDistrict,Playoff,17,LS,1502,Technical Difficulties,2,2,2,1,3,6,4,18,0,0,2,3,0,0,0
LoneStarRegional,Playoff,18,AB,1502,Technical Difficulties,1,4,3,1,8,9,4,20,0,1,4,3,1,1,0
LoneStarRegional,Playoff,19,TR,1502,Technical Difficulties,1,4,0,1,5,4,0,13,1,0,1,2,1,0,0
PacificRegional,Qual,20,KP,1502,Technical Difficulties,2,2,3,0,2,7,4,4,1,1,2,3,0,0,0
LoneStarRegional,Qual,21,AB,1502,Technical Difficulties,1,0,4,0,4,6,0,12,0,1,5,5,0,0,2
LoneStarRegional,Qual,22,AB,1502,Technical Difficulties,1,2,2,0,7,9,4,8,0,0,2,3,0,0,0
LoneStarRegional,Qual,23,JD,1502,Technical Difficulties,3,4,3,0,6,4,1,1,0,1,5,1,0,0,0
PacificRegional,Qual,24,AB,1502,Technical Difficulties,1,4,0,1,5,1,3,14,0,0,3,4,1,0,0
MidwestRegional,Playoff,25,LS,1502,Technical Difficulties,1,0,3,0,0,7,1,1,1,1,5,1,1,0,0
NEDistrict,Qual,26,KP,1502,Technical Difficulties,1,0,1,1,5,6,4,19,0,1,5,5,0,0,0
PacificRegional,Playoff,27,TR,1502,Technical Difficulties,1,0,0,1,1,8,1,13,1,1,3,5,1,0,0
NEDistrict,Qual,28,LS,1502,Technical Difficulties,2,0,0,0,9,1,2,9,0,0,3,1,0,0,0
PacificRegional,Qual,29,LS,1502,Technical Difficulties,1,2,0,1,9,5,2,18,0,0,3,1,0,0,0
PacificRegional,Playoff,30,TR,1502,Technical Difficulties,1,0,2,1,1,7,2,23,0,1,5,1,0,0,0
LoneStarRegional,Playoff,31,LS,1502,Technical Difficulties,3,4,0,1,7,8,4,5,0,1,3,4,0,0,0
MidwestRegional,Qual,32,MK,1502,Technical Difficulties,3,3,1,0,4,7,2,20,1,0,2,4,0,0,0
MidwestRegional,Playoff,33,TR,1502,Technical Difficulties,1,0,4,0,0,8,1,22,1,0,5,4,0,0,0
PacificRegional,Qual,1,JD,1528,MTR,2,4,1,0,6,9,3,11,1,1,2,5,0,0,0
MidwestRegional,Playoff,2,LS,1528,MTR,1,1,2,1,5,9,0,13,0,0,5,1,0,0,0
NEDistrict,Qual,3,AB,1528,MTR,1,2,3,0,2,8,3,6,0,1,4,1,1,0,0
NEDistrict,Playoff,4,LS,1528,MTR,3,0,3,1,3,7,4,25,0,0,3,3,0,0,0
NEDistrict,Qual,5,TR,1528,MTR,2,1,4,0,2,4,4,5,0,0,5,2,1,0,0
NEDistrict,Playoff,6,MK,1528,MTR,2,2,3,1,3,5,4,1,0,0,3,4,0,0,0
LoneStarRegional,Qual,7,XZ,1528,MTR,2,0,1,1,2,6,4,7,0,0,3,2,0,0,0
NEDistrict,Playoff,8,AB,1528,MTR,1,1,0,1,2,7,1,29,1,0,4,4,1,0,0
LoneStarRegional,Playoff,9,XZ,1528,MTR,3,1,3,0,1,9,3,10,0,0,5,5,0,0,0
MidwestRegional,Playoff,10,LS,1528,MTR,1,0,1,1,8,5,3,3,1,1,3,5,1,1,0
PacificRegional,Qual,11,TR,1528,MTR,1,4,0,0,8,0,2,14,0,0,5,4,1,0,0
PacificRegional,Playoff,12,TR,1528,MTR,3,3,3,0,4,9,4,2,1,1,3,1,0,0,1
PacificRegional,Playoff,13,JD,1528,MTR,3,0,4,0,0,7,1,21,1,1,2,4,1,0,2
LoneStarRegional,Playoff,14,TR,1528,MTR,3,2,3,0,6,3,1,9,1,0,5,3,1,0,0
MidwestRegional,Playoff,15,TR,1528,MTR,3,4,1,1,8,8,3,8,0,1,1,2,1,0,0
LoneStarRegional,Playoff,16,TR,1528,MTR,1,3,4,1,8,7,2,8,0,1,4,5,0,0,1
PacificRegional,Qual,17,XZ,1528,MTR,1,4,0,0,4,0,2,8,1,1,3,5,0,0,0
LoneStarRegional,Qual,18,TR,1528,MTR,2,3,0,1,3,8,1,17,0,1,5,4,1,0,1
MidwestRegional,Qual,19,LS,1528,MTR,3,3,2,1,5,2,4,14,1,0,2,5,1,0,0
MidwestRegional,Qual,20,MK,1528,MTR,2,1,1,1,6,6,3,24,0,0,4,5,1,0,0
MidwestRegional,Qual,21,AB,1528,MTR,1,2,1,0,4,3,4,12,0,1,1,5,1,0,0
NEDistrict,Playoff,22,AB,1528,MTR,2,2,1,0,3,6,4,5,0,1,1,2,1,0,1
LoneStarRegional,Playoff,23,AB,1528,MTR,2,1,1,1,2,4,3,0,1,1,5,5,0,0,0
PacificRegional,Playoff,24,LS,1528,MTR,1,0,3,1,6,9,0,29,0,0,5,4,0,0,0
LoneStarRegional,Qual,25,AB,1528,MTR,3,1,0,0,2,9,4,4,1,1,5,1,0,0,0
LoneStarRegional,Qual,26,LS,1528,MTR,3,4,1,1,6,9,4,17,0,1,4,1,0,0,0
LoneStarRegional,Qual,27,KP,1528,MTR,2,2,3,0,7,8,3,24,1,0,2,1,0,0,0
LoneStarRegional,Playoff,28,MK,1528,MTR,2,4,1,1,8,9,4,19,0,0,5,5,0,0,0
MidwestRegional,Playoff,29,TR,1528,MTR,2,0,4,1,4,5,1,15,1,0,5,1,0,0,0
LoneStarRegional,Qual,30,MK,1528,MTR,2,1,4,1,7,6,0,3,0,1,3,2,1,0,0
LoneStarRegional,Playoff,31,LS,1528,MTR,2,1,2,0,8,2,4,15,0,1,1,3,1,0,0
LoneStarRegional,Playoff,32,MK,1528,MTR,1,4,3,1,9,6,2,27,0,1,1,4,1,0,0
PacificRegional,Playoff,33,MK,1528,MTR,1,4,3,0,9,6,1,22,1,0,1,1,1,0,1
NEDistrict,Qual,1,KP,2611,Jacktown Vectors,3,3,2,0,3,5,3,1,1,0,3,1,0,0,0
MidwestRegional,Qual,2,JD,2611,Jacktown Vectors,1,3,3,0,6,4,3,16,0,1,2,5,0,0,0
MidwestRegional,Qual,3,KP,2611,Jacktown Vectors,2,4,2,0,5,7,3,0,1,0,3,5,1,0,0
MidwestRegional,Qual,4,AB,2611,Jacktown Vectors,1,2,1,1,8,4,4,8,1,1,5,2,1,0,0
LoneStarRegional,Qual,5,JD,2611,Jacktown Vectors,3,2,1,0,6,5,4,18,0,1,3,3,0,0,0
MidwestRegional,Playoff,6,KP,2611,Jacktown Vectors,1,1,1,1,7,5,4,22,1,0,1,5,0,0,0
NEDistrict,Qual,7,MK,2611,Jacktown Vectors,1,0,3,1,2,3,3,24,0,0,1,4,0,0,0
